paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect,in_scope
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,"Yuqing Wu, Hamideh Mehdizadeh, Kim Hung Mo, Tung-Chai Ling",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.104526,19.63,64.52,5.43,3.21,2.15,2.84,0.52,0.58,,,,,,150.0,23038.666666666668,23038.666666666668,,,,,0.4,100.0,30.0,,,1.0,carbonation,crushing,mixed,fines,20.0,,0,False,True
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,"Huixia Wu, Chaofeng Liang, Jianzhuang Xiao, Jianguang Xu, Zhiming Ma",Structural Concrete,2022,10.1002/suco.202000834,41.0,46.333333333333336,4.0,2.6666666666666665,3.6666666666666665,,,,,,,50.36666666666666,,,,,,,,,0.5,,,,,1.0,,combined,mixed,paste,7.5,,0,False,True
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,"Jianzhuang Xiao, Lucen Hao, Wanzhi Cao, Taohua Ye",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.105203,57.02,21.32,10.93,3.45,2.54,1.17,,,,,,75.0,,86.4,,,,,,,0.6,,,,,1.0,,other,,powder,30.0,0.0,20,False,True
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,"Jianzhuang Xiao, Yuxiang Tang, Hongniao Chen, Hanghua Zhang, Bing Xia",Journal of Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.132895,57.01,21.3,10.93,3.45,1.82,1.17,1.58,2.22,,,,,,,,,,,,,0.45,,,30.0,,,mechanical,combined,,powder,10.0,,14,False,True
44,Influence of fine recycled concrete aggregates use on the hydration kinetics and mechanical-microstructural properties of hydrated cement: Experimental and numerical approaches,"Yassine Abriak, Duc Chinh Chu, Walid Maherzi, Mahfoud Benzerzour, Patrice Rivard",Construction and Building Materials,2023,10.1016/j.conbuildmat.2023.133769,17.08,11.39,1.89,0.57,0.53,0.4,,0.22,67.58,,1.78,14.2,44.7,,,,,12.033333333333331,2.33,,0.415,,,,,0.0,,combined,,fines,10.0,10.0,18,False,True
45,The utilization of recycled concrete powder as supplementary cementitious material in cement-based materials: A systematic literature review,"Joaquin Humberto Aquino Rocha, Romildo Dias Toledo Filho",Journal of Building Engineering,2023,10.1016/j.jobe.2023.107319,37.38,36.86,6.03,4.06,2.5,1.8,0.8,,13.41,,,49.41633333333333,,49.333333333333336,511.6,,,,,,,750.0,,62.5,,1.0,multiple,combined,mixed,paste,25.0,,0,False,True
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,"Zhanqi Cheng, Kaichuang Wang, Jiajia Zhou, Haoliang Wu",Journal of Building Engineering,2023,https://doi.org/10.1016/j.jobe.2023.106438,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,combined,,fines,30.0,,22,False,True
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,"Amina Dacić, Olivér Fenyvesi, Katalin Kopecskó",Periodica Polytechnica Civil Engineering,2023,https://doi.org/10.3311/PPci.21593,48.69,30.94,9.0,4.35,2.73,1.04,0.94,1.81,17.13,,,25.29,,,2339.5,,351.0,,2.5,,0.5,,,,,1.0,,crushing,mixed,powder,15.0,15.0,15,False,True
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,"Xin Deng, Jun Li, Zhongyuan Lu, Junjin Zhang, Kai Luo, Yunhui Niu, Jun Hu, Kewen He",Construction and Building Materials,2023,https://doi.org/10.1016/j.conbuildmat.2023.132108,39.46666666666667,37.59666666666666,9.413333333333332,5.18,1.9,1.9266666666666667,1.1466666666666667,1.2133333333333334,15.366666666666667,,5.23,39.23333333333333,86.63333333333333,,,11818.333333333334,,,2.48,,0.45,,,,,,,combined,calcite,powder,10.0,,19,False,True
49,Application and Texture of Ground RC as Supplementary Cementitious Material,"Ludwig Hertwig, Wladislaw Polienko, Constanze Reuter, Klaus Holschemacher","fib Symposium 2023, LNCE 349",2023,https://doi.org/10.1007/978-3-031-32519-9_104,,,,,,,,,6.412499999999999,,3.5,13.666666666666666,59.0,,234.6,,,,,2478.8888888888887,,,,10.0,600.0,0.0,,combined,,powder,,,27,False,True
50,Characteristics of waste concrete powders from multi-recycled coarse aggregate concrete and their effects as cement replacements,"Jeonghyun Kim, Nader Nciri, Alena Sicakova, Namho Kim",Construction and Building Materials,2023,https://doi.org/10.1016/j.conbuildmat.2023.132525,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.663333333333333,,2.4250000000000003,,,,,,,,,,,,2198.333333333333,0.484,,,,,,,combined,,powder,15.0,,10,False,True
51,"Effects of recycled concrete powders on the rheology, setting and early age strength of cement paste","Jingzhe Li, Binggen Zhan, Peng Gao, Li Hu, Min Qiao, Huiling Sha, Qijun Yu",Construction and Building Materials,2023,10.1016/j.conbuildmat.2023.132899,29.25,42.54,6.865,6.365,1.12,1.22,0.2,4.404999999999999,16.42,37.1,3.089,13.08,44.589,,,7760.0,,10.55,,,0.45,,,,,1.0,,combined,mixed,powder,,,13,False,True
52,Effects of recycled micro-powders mixing methods on the properties of recycled concrete,"Yike Lin, Tingshu He, Yongqi Da, Renhe Yang, Danlin Zheng",Journal of Building Engineering,2023,https://doi.org/10.1016/j.jobe.2023.107994,48.82,27.08,11.76,3.5,3.04,0.71,1.62,2.59,0.88,,,,,15.16,,,,,,,0.35,,,,,2.0,,milling,quartz,powder,11.0,0.0,26,False,True
53,"Utilizing heat-mechanical synergistic treatment for separating concrete waste into high-quality recycled aggregate, active recycled powder and new concrete","Zhiming Ma, Ruihan Hu, Pengpeng Yao, Changqing Wang",Journal of Building Engineering,2023,https://doi.org/10.1016/j.jobe.2023.106161,,,,,,,,,,,,,,,,,,,,,0.5,700.0,2.0,30.0,,1.0,multiple,combined,quartz,powder,10.0,,7,False,True
54,Total recycling of concrete waste using accelerated carbonation: A review,"Chi Sun Poon, Peiliang Shen, Yi Jiang, Zihan Ma, Dongxing Xuan",Cement and Concrete Research,2023,10.1016/j.cemconres.2023.107284,,,,,,,,,,15.75,,,,12.0,30000.0,,,7.666666666666667,,,0.4166666666666667,100.0,,,,2.0,carbonation,combined,calcite,fines,30.0,,3,False,True
55,The effect of recycled concrete powder (RCP) from precast concrete plant on fresh and mechanical properties of cementitious pastes,"J.H.A. Rocha, M.P. Tinoco, R.D. Toledo Filho",Materiales de Construcción,2023,10.3989/mc.2023.351923,34.32,36.76,8.94,5.22,,2.7,,1.76,8.47,,1.72,14.42,60.67,,,,,,2.68,,0.4,,,30.0,300.0,1.0,mechanical,combined,,powder,20.0,10.0,25,False,True
56,Concrete powder waste as a substitution for Portland cement for environment-friendly cement production,"Dayana Ruth Bola Oliveira, Gabriela Leite, Edna Possan, José Marques Filho",Construction and Building Materials,2023,https://doi.org/10.1016/j.conbuildmat.2023.132382,23.15,10.5,6.3,7.266666666666666,2.733333333333333,1.8333333333333333,2.0500000000000003,1.9666666666666668,5.716666666666666,,,9.265,,15.777142857142858,,,2833.333333333333,,2.524,,0.48,,,2.833333333333333,500.0,1.0,mechanical,combined,,powder,8.5,0.0,26,False,True
57,Use of recycled fine aggregates and recycled powders in sustainable recycled concrete,"Amardeep Singh, Xinzhao Miao, Xin Zhou, Qi Deng, Jiannan Li, Shuai Zou, Zhenhua Duan",Journal of Building Engineering,2023,https://doi.org/10.1016/j.jobe.2023.107370,57.01,21.3,10.93,3.45,1.82,1.17,1.58,2.22,,,,,,45.0,,,,12.57,,2199.0,0.36,,,,,1.0,mechanical,combined,calcite,powder,,,0,False,True
58,Fine demolition wastes as Supplementary cementitious materials for CO2 reduced cement production,"Anna Tokareva, Sinan Kaassamani, Danièle Waldmann",Construction and Building Materials,2023,https://doi.org/10.1016/j.conbuildmat.2023.131991,38.32,24.096666666666668,7.8066666666666675,5.153333333333333,1.37,1.5433333333333337,0.3733333333333333,1.9,18.33333333333333,,,175.0,210.55555555555557,,,,,,2.488333333333333,,0.4666666666666666,450.0,2.0,,,1.0,thermal,combined,mixed,fines,20.0,0.0,40,False,True
59,Effect of thermo-mechanical activation of waste concrete powder (WCP) on the characteristics of cement mixtures,"Prabhat Vashistha, Yanchen Oinam, Hyeong-Ki Kim, Sukhoon Pyo",Construction and Building Materials,2023,10.1016/j.conbuildmat.2022.129713,25.12,29.12,5.56,13.18,1.74,1.78,,2.65,15.1,,1.745,,50.515,,,,,,2.1566666666666667,,0.35,650.0,2.0,2.0,,1.0,multiple,other,,powder,35.0,10.0,62,False,True
60,Micro-macro characterizations of mortar containing construction waste fines as replacement of cement and sand: A comparative study,"Huixia Wu, Ruihan Hu, Dingyi Yang, Zhiming Ma",Construction and Building Materials,2023,https://doi.org/10.1016/j.conbuildmat.2023.131328,31.0,54.9,3.4,1.9,5.6,,,,,,,,,,,,,,,,0.5,,,,,2.0,,combined,mixed,fines,10.0,,6,False,True
