paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct
69,Reference,0.0,,54.0,,True,False,,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-400-10,10.0,,48.2,,True,False,Thermal Treatment,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-400-10,10.0,,48.6,,True,False,Thermal,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-200-10,10.0,,49.4,,True,False,Thermal,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-600-10,10.0,,50.1,,True,False,Thermal Treatment,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-600-10,10.0,,50.2,,True,False,Thermal,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-RT-10,10.0,,50.3,,True,False,Untreated (RT),matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R3-RT-10,10.0,,50.5,,True,False,Untreated (RT),matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R2-200-10,10.0,,50.8,,True,False,Thermal,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
69,R2-400-10,10.0,,50.9,,True,False,Thermal,matrix,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,
