paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source
17,MFP600,50.0,28.0,21.6,,False,True,,sheet1
17,MFP900,50.0,28.0,24.6,,False,True,,sheet1
17,MFP800,50.0,28.0,26.4,,False,True,,sheet1
17,MC50,50.0,28.0,39.7,,False,True,,sheet1
17,MA50,50.0,28.0,47.1,,False,True,,sheet1
17,MD50,50.0,28.0,66.9,,False,True,,sheet1
17,MA50,50.0,90.0,56.3,,False,True,,sheet1
17,MA100,100.0,3.0,3.4,,False,True,,sheet1
17,MC100,100.0,3.0,16.4,,False,True,,sheet1
17,MA100,100.0,7.0,6.0,,False,True,,sheet1
17,MC100,100.0,7.0,21.6,,False,True,,sheet1
17,MA100,100.0,28.0,23.1,,False,True,,sheet1
17,MC100,100.0,28.0,27.1,,False,True,,sheet1
17,MA100,100.0,90.0,30.4,,False,True,,sheet1
19,,0.0,28.0,40.0,,True,True,,sheet1
19,(91d),0.0,91.0,45.5,,True,True,,sheet1
19,,15.0,7.0,27.0,,True,True,,sheet1
19,,15.0,28.0,31.0,,True,True,,sheet1
19,,15.0,28.0,32.0,,True,True,,sheet1
19,,15.0,28.0,34.0,,True,True,,sheet1
19,,15.0,28.0,34.5,,True,True,,sheet1
19,(91d),15.0,91.0,33.5,,True,True,,sheet1
19,(91d),15.0,91.0,38.2,,True,True,,sheet1
19,,25.0,7.0,24.8,,True,True,,sheet1
19,,25.0,28.0,25.5,,True,True,,sheet1
19,,25.0,28.0,28.0,,True,True,,sheet1
19,,25.0,28.0,29.0,,True,True,,sheet1
19,,25.0,28.0,31.5,,True,True,,sheet1
19,(91d),25.0,91.0,32.0,,True,True,,sheet1
19,(91d),25.0,91.0,36.5,,True,True,,sheet1
19,,50.0,7.0,10.5,,True,True,,sheet1
19,(28d),50.0,28.0,15.8,,True,True,,sheet1
19,(91d),50.0,91.0,16.5,,True,True,,sheet1
21,,0.0,3.0,17.68,,False,True,,sheet1
21,,0.0,3.0,29.41,,False,True,,sheet1
21,E-0,0.0,3.0,46.82,,False,True,,matrix
21,E-0,0.0,3.0,55.34,,False,True,,matrix
21,,0.0,7.0,25.16,,False,True,,sheet1
21,,0.0,7.0,46.82,,False,True,,sheet1
21,,0.0,28.0,41.91,,False,True,,sheet1
21,,0.0,28.0,55.34,,False,True,,sheet1
21,E-2,30.0,3.0,14.34,,False,True,Thermal Treatment: 200 °C,matrix
21,E-3,30.0,3.0,14.97,,False,True,Thermal Treatment: 400 °C,matrix
21,E-4,30.0,3.0,16.68,,False,True,Thermal Treatment: 600 °C,matrix
21,E-6,30.0,3.0,17.53,,False,True,Thermal Treatment: 800 °C,matrix
21,E-1,30.0,3.0,17.68,,False,True,Thermal Treatment: 0 °C,matrix
21,E-4,30.0,3.0,23.16,,False,True,Thermal Treatment: 600 °C,matrix
21,E-5,30.0,3.0,23.71,,False,True,Thermal Treatment: 700 °C,matrix
21,E-1,30.0,3.0,25.16,,False,True,Thermal Treatment: 0 °C,matrix
21,E-2,30.0,3.0,26.2,,False,True,Thermal Treatment: 200 °C,matrix
21,E-6,30.0,3.0,28.44,,False,True,Thermal Treatment: 800 °C,matrix
21,E-3,30.0,3.0,29.92,,False,True,Thermal Treatment: 400 °C,matrix
21,E-5,30.0,3.0,33.43,,False,True,Thermal Treatment: 700 °C,matrix
21,E-6,30.0,3.0,36.98,,False,True,Thermal Treatment: 800 °C,matrix
21,E-2,30.0,3.0,38.98,,False,True,Thermal Treatment: 200 °C,matrix
